Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,No_of_Votes,Gross,Released_Decade
A,146,Drama,8.4,66.0,Stanley Kubrick,898237,44.017374,1980s
R,147,Drama,8.4,94.0,Francis Ford Coppola,606398,83.471511,1970s
R,117,Horror,8.4,89.0,Ridley Scott,787806,78.9,1970s
U,122,Drama,8.4,79.15668202764977,Hrishikesh Mukherjee,30273,36.776563333333335,1970s
A,95,Comedy,8.4,97.0,Stanley Kubrick,450474,0.275902,1960s
U,116,Crime,8.4,75.98717948717949,Billy Wilder,108862,8.175,1950s
U,112,Mystery,8.4,100.0,Alfred Hitchcock,444074,36.764313,1950s
Passed,110,Drama,8.4,79.15668202764977,Billy Wilder,201632,0.010177,1940s
Passed,125,Comedy,8.4,78.08849557522124,Charles Chaplin,203150,0.288475,1930s
R,119,Drama,8.3,78.0,Sam Mendes,425844,159.227644,2010s
A,104,Drama,8.3,79.15668202764977,Rahi Anil Barve,27793,80.99030633333334,2010s
UA,139,Crime,8.3,75.98717948717949,Sriram Raghavan,71875,1.373943,2010s
U,160,Crime,8.3,75.98717948717949,Jeethu Joseph,30722,20.722368,2010s
R,115,Drama,8.3,77.0,Thomas Vinterberg,281623,0.687185,2010s
PG-13,123,Drama,8.3,95.0,Asghar Farhadi,220002,7.098492,2010s
R,131,Drama,8.3,80.0,Denis Villeneuve,150023,6.857096,2010s
TV-14,132,Drama,8.3,79.15668202764977,Mehmet Ada Öztekin,33935,69.1638115,2010s
A,153,Adventure,8.3,69.0,Quentin Tarantino,1267869,120.540719,2000s
UA,108,Drama,8.3,89.0,Michel Gondry,911664,34.400301,2000s
U,122,Comedy,8.3,69.0,Jean-Pierre Jeunet,703810,33.225499,2000s
UA,104,Comedy,8.3,55.0,Guy Ritchie,782001,30.328156,2000s
A,102,Drama,8.3,68.0,Darren Aronofsky,766870,3.635482,2000s
UA,122,Drama,8.3,84.0,Sam Mendes,1069738,130.096601,1990s
U,126,Drama,8.3,70.0,Gus Van Sant,861606,138.433435,1990s
PG,89,Drama,8.3,77.0,Majid Majidi,65341,0.933933,1990s
U,81,Animation,8.3,95.0,John Lasseter,887429,191.796233,1990s
A,178,Biography,8.3,68.0,Mel Gibson,959181,75.6,1990s
R,99,Crime,8.3,79.0,Quentin Tarantino,918562,2.832029,1990s
UA,116,Drama,8.3,76.0,Stanley Kubrick,675146,46.357676,1980s
A,142,Drama,8.3,79.15668202764977,Elem Klimov,59056,54.198499,1980s
U,137,Action,8.3,84.0,James Cameron,652719,85.160248,1980s
R,160,Biography,8.3,88.0,Milos Forman,369007,51.973029,1980s
A,170,Crime,8.3,65.0,Brian De Palma,740911,45.598982,1980s
U,131,Action,8.3,58.0,Richard Marquand,950470,309.125409,1980s
R,149,Adventure,8.3,86.0,Wolfgang Petersen,231855,11.487676,1980s
A,114,Crime,8.3,94.0,Martin Scorsese,724636,28.262574,1970s
U,129,Comedy,8.3,83.0,George Roy Hill,241513,159.6,1970s
A,136,Crime,8.3,77.0,Stanley Kubrick,757904,6.207725,1970s
U,149,Adventure,8.3,84.0,Stanley Kubrick,603517,56.954992,1960s
U,132,Western,8.3,74.0,Sergio Leone,232772,15.0,1960s
U,228,Adventure,8.3,100.0,David Lean,268085,44.824144,1960s
U,125,Comedy,8.3,94.0,Billy Wilder,164363,18.6,1950s
U,136,Adventure,8.3,98.0,Alfred Hitchcock,299198,13.275,1950s
A,128,Mystery,8.3,100.0,Alfred Hitchcock,364368,3.2,1950s
G,103,Comedy,8.3,99.0,Stanley Donen,218957,8.819028,1950s
Passed,107,Crime,8.3,95.0,Billy Wilder,143525,5.72,1940s
UA,119,Drama,8.3,100.0,Orson Welles,403351,1.585634,1940s
Passed,117,Crime,8.3,75.98717948717949,Fritz Lang,143434,0.028877,1930s
Passed,68,Comedy,8.3,78.08849557522124,Charles Chaplin,113314,5.45,1920s
UA,143,Comedy,8.2,78.08849557522124,Nitesh Tiwari,33893,0.898575,2010s
UA,138,Action,8.2,73.52941176470588,Aditya Dhar,43444,4.186168,2010s
UA,156,Action,8.2,73.52941176470588,Prashanth Neel,36680,306.93812225,2010s
UA,130,Biography,8.2,69.0,Peter Farrelly,377884,85.080171,2010s
A,115,Comedy,8.2,88.0,Martin McDonagh,432610,54.51374,2010s
UA,132,Crime,8.2,75.98717948717949,Meghna Gulzar,31142,0.34237,2010s
UA,167,Action,8.2,73.52941176470588,S.S. Rajamouli,75348,20.186659,2010s
PG,96,Animation,8.2,65.0,Sergio Pablos,104761,434.038008,2010s
UA,163,Crime,8.2,75.98717948717949,Nishikant Kamat,70367,0.739478,2010s
UA,146,Adventure,8.2,78.46031746031746,Vikas Bahl,60701,1.429534,2010s
U,186,Biography,8.2,76.24050632911393,Rakeysh Omprakash Mehra,61137,1.626289,2010s
A,321,Action,8.2,89.0,Anurag Kashyap,82365,283.3643722,2010s
UA,134,Drama,8.2,79.15668202764977,Vikramaditya Motwane,42341,0.007461,2010s
UA,135,Action,8.2,73.52941176470588,Tigmanshu Dhulia,33237,0.039567,2010s
R,129,Drama,8.2,80.0,Juan José Campanella,193217,6.391436,2000s
UA,140,Action,8.2,71.0,Gavin O'Connor,435950,13.657115,2010s
A,138,Mystery,8.2,63.0,Martin Scorsese,1129894,128.012934,2010s
U,96,Animation,8.2,88.0,Pete Docter,935507,293.004164,2000s
A,180,Biography,8.2,75.0,Martin Scorsese,1187498,116.900694,2010s
U,153,Drama,8.2,68.0,Shimit Amin,74129,1.113541,2000s
A,158,Drama,8.2,93.0,Paul Thomas Anderson,517359,40.222514,2000s
UA,118,Drama,8.2,98.0,Guillermo del Toro,618623,37.634615,2000s
U,103,Animation,8.2,92.0,Lee Unkrich,757032,415.00488,2010s
A,132,Action,8.2,62.0,James McTeigue,1032749,70.511035,2000s
UA,167,Comedy,8.2,78.08849557522124,Rakeysh Omprakash Mehra,111937,2.197331,2000s
U,122,Drama,8.2,79.15668202764977,Sanjay Leela Bhansali,33354,0.733094,2000s
UA,140,Action,8.2,70.0,Christopher Nolan,1308302,206.852432,2000s
U,210,Drama,8.2,79.15668202764977,Ashutosh Gowariker,83005,1.22324,2000s
R,156,Biography,8.2,82.0,Oliver Hirschbiegel,331308,5.50904,2000s
U,119,Animation,8.2,80.0,Hayao Miyazaki,333915,4.711096,2000s
UA,135,Biography,8.2,72.0,Ron Howard,848920,170.742341,2000s
U,156,Action,8.2,73.52941176470588,Priyadarshan,57057,157.8921495,2000s
A,107,Action,8.2,66.0,Guy Ritchie,535216,3.897569,1990s
A,138,Crime,8.2,90.0,Curtis Hanson,531967,64.61694,1990s
A,170,Crime,8.2,76.0,Michael Mann,577113,67.436818,1990s
A,178,Crime,8.2,73.0,Martin Scorsese,466276,42.4383,1990s
U,160,Action,8.2,73.52941176470588,Rajkumar Santoshi,49300,19.501238,1990s
A,130,Drama,8.2,85.0,Clint Eastwood,375935,101.157447,1990s
U,127,Action,8.2,65.0,Steven Spielberg,692366,197.171806,1980s
R,142,Comedy,8.2,78.08849557522124,Emir Kusturica,26402,0.280015,1980s
U,86,Animation,8.2,86.0,Hayao Miyazaki,291180,1.105564,1980s
A,132,Action,8.2,72.0,John McTiernan,793164,83.008852,1980s
U,162,Action,8.2,96.0,Akira Kurosawa,112505,4.13575,1980s
A,129,Biography,8.2,89.0,Martin Scorsese,321860,23.383987,1980s
U,162,Drama,8.2,79.15668202764977,Andrei Tarkovsky,116945,0.234723,1970s
U,99,Drama,8.2,79.15668202764977,Ingmar Bergman,26875,48.979328,1970s
PG,177,Biography,8.2,76.24050632911393,Moustapha Akkad,43885,70.6,1970s
PG,91,Adventure,8.2,91.0,Terry Gilliam,500875,1.229197,1970s
U,172,Adventure,8.2,86.0,John Sturges,224730,12.1,1960s
A,179,Drama,8.2,60.0,Stanley Kramer,69458,8.284,1960s
U,121,Comedy,8.2,98.0,Billy Wilder,243943,25.0,1950s
A,105,Crime,8.2,75.0,Alfred Hitchcock,158335,0.012562,1950s
U,136,Drama,8.2,79.15668202764977,Yasujirô Ozu,53153,30.5,1950s
Passed,138,Drama,8.2,98.0,Joseph L. Mankiewicz,120539,0.010177,1940s
Passed,126,Adventure,8.2,98.0,John Huston,114304,5.014,1940s
Passed,95,Adventure,8.2,78.46031746031746,Charles Chaplin,101053,5.45,1920s
Passed,45,Action,8.2,73.52941176470588,Buster Keaton,41985,0.977375,1920s
R,122,Drama,8.1,95.0,Céline Sciamma,63134,3.759854,2010s
UA,136,Drama,8.1,79.15668202764977,Aniruddha Roy Chowdhury,39216,1.241223,2010s
16,130,Animation,8.1,78.0,Naoko Yamada,47708,160.76640650000002,2010s
A,145,Drama,8.1,84.0,Chan-wook Park,113649,2.006788,2010s
R,139,Drama,8.1,74.0,Xavier Dolan,50700,3.492754,2010s
UA,160,Action,8.1,73.52941176470588,Vishal Bhardwaj,50445,0.90161,2010s
A,137,Action,8.1,77.0,James Mangold,647884,226.277068,2010s
R,118,Drama,8.1,86.0,Lenny Abrahamson,371538,14.677674,2010s
R,122,Comedy,8.1,77.0,Damián Szifron,177059,3.107072,2010s
UA,153,Comedy,8.1,78.08849557522124,Rajkumar Hirani,163061,10.616104,2010s
U,125,Comedy,8.1,78.08849557522124,Umesh Shukla,51739,0.923221,2010s
UA,99,Adventure,8.1,88.0,Wes Anderson,707630,59.100318,2010s
A,149,Drama,8.1,79.0,David Fincher,859695,167.767189,2010s
U,117,Animation,8.1,71.0,Mamoru Hosoda,38803,189.422889,2010s
A,139,Biography,8.1,71.0,Mel Gibson,435928,67.209615,2010s
U,95,Animation,8.1,94.0,Pete Docter,616228,356.461711,2010s
U,151,Comedy,8.1,78.08849557522124,Anurag Basu,75721,2.804874,2010s
A,134,Biography,8.1,96.0,Steve McQueen,640533,56.671993,2010s
UA,123,Action,8.1,74.0,Ron Howard,432811,26.947624,2010s
UA,152,Action,8.1,81.0,James Mangold,291289,117.624028,2010s
A,129,Biography,8.1,93.0,Tom McCarthy,420316,45.055776,2010s
PG,93,Animation,8.1,85.0,Tomm Moore,51679,0.857524,2010s
UA,122,Mystery,8.1,76.42857142857143,Sujoy Ghosh,57806,1.035953,2010s
U,155,Comedy,8.1,78.08849557522124,Zoya Akhtar,67927,3.108485,2010s
A,153,Crime,8.1,70.0,Denis Villeneuve,601149,61.002302,2010s
UA,120,Action,8.1,90.0,George Miller,882316,154.05834,2010s
UA,104,Action,8.1,73.52941176470588,Neeraj Pandey,73891,332.757178,2000s
R,116,Drama,8.1,72.0,Clint Eastwood,720450,148.095302,2000s
UA,130,Adventure,8.1,85.0,David Yates,764493,381.011219,2010s
PG-13,130,Drama,8.1,68.0,Yôjirô Takita,48582,1.49821,2000s
G,93,Biography,8.1,76.24050632911393,Lasse Hallström,253575,255.959475,2000s
U,98,Animation,8.1,75.0,Dean DeBlois,666773,217.581231,2010s
R,148,Adventure,8.1,73.0,Sean Penn,572921,18.354356,2000s
R,122,Crime,8.1,91.0,Ethan Coen,856916,74.283625,2000s
U,144,Comedy,8.1,78.08849557522124,Rajkumar Hirani,43137,2.217561,2000s
UA,132,Drama,8.1,86.0,Clint Eastwood,635975,100.492203,2000s
PG-13,121,Biography,8.1,79.0,Terry George,334320,23.530892,2000s
R,140,Action,8.1,64.0,Je-kyu Kang,37820,1.111061,2000s
R,80,Drama,8.1,90.0,Richard Linklater,236311,5.820649,2000s
U,156,Comedy,8.1,78.08849557522124,Rajkumar Hirani,73992,11.3450228,2000s
UA,131,Crime,8.1,82.0,Bong Joon Ho,139558,0.014131,2000s
Unrated,183,Comedy,8.1,78.08849557522124,Farhan Akhtar,66803,0.3,2000s
R,111,Action,8.1,69.0,Quentin Tarantino,1000639,70.099045,2000s
U,100,Animation,8.1,90.0,Andrew Stanton,949565,380.843261,2000s
A,141,Biography,8.1,75.0,Steven Spielberg,832846,164.615351,2000s
A,154,Drama,8.1,83.0,Alejandro G. Iñárritu,223741,5.383834,2000s
U,92,Animation,8.1,79.0,Pete Docter,815505,289.916256,2000s
UA,87,Animation,8.1,81.0945945945946,Hideaki Anno,38847,1.5759865,1990s
U,224,Adventure,8.1,84.0,Ashutosh Gowariker,105036,0.070147,2000s
A,107,Drama,8.1,64.0,M. Night Shyamalan,911573,293.506292,1990s
U,169,Drama,8.1,58.0,Giuseppe Tornatore,59020,0.259127,1990s
U,103,Comedy,8.1,90.0,Peter Weir,939631,125.618201,1990s
R,127,Comedy,8.1,73.0,Emir Kusturica,50862,0.34866,1990s
R,117,Comedy,8.1,71.0,Joel Coen,732620,17.498804,1990s
U,98,Drama,8.1,85.0,Kar-Wai Wong,124383,2.734044,2000s
A,93,Drama,8.1,83.0,Danny Boyle,634716,16.501785,1990s
A,98,Crime,8.1,85.0,Joel Coen,617444,24.611975,1990s
UA,98,Crime,8.1,75.98717948717949,Mathieu Kassovitz,150345,0.309811,1990s
U,189,Drama,8.1,79.15668202764977,Aditya Chopra,63516,32.563526249999995,1990s
R,101,Drama,8.1,77.0,Richard Linklater,272291,5.535405,1990s
U,99,Drama,8.1,100.0,Krzysztof Kieslowski,90729,4.043686,1990s
U,102,Comedy,8.1,77.0,Kar-Wai Wong,63122,0.6002,1990s
UA,127,Action,8.1,68.0,Steven Spielberg,867615,402.453882,1990s
UA,133,Biography,8.1,84.0,Jim Sheridan,156842,25.01041,1990s
R,171,Drama,8.1,79.15668202764977,Kaige Chen,25088,5.216888,1990s
PG,125,Drama,8.1,79.15668202764977,Yimou Zhang,29662,2.603061,1990s
U,128,Comedy,8.1,79.0,Peter Weir,425457,95.860116,1980s
U,89,Adventure,8.1,75.0,Rob Reiner,363401,52.287414,1980s
A,120,Drama,8.1,92.0,Oliver Stone,381222,138.530565,1980s
U,145,Drama,8.1,78.0,Wim Wenders,91188,2.181987,1980s
U,117,Animation,8.1,86.0,Hayao Miyazaki,150924,0.49577,1980s
A,109,Horror,8.1,57.0,John Carpenter,371271,13.782838,1980s
UA,95,Drama,8.1,47.0,Alan Parker,76081,22.244207,1980s
A,188,Drama,8.1,100.0,Ingmar Bergman,57784,4.97134,1980s
UA,117,Action,8.1,84.0,Ridley Scott,693827,32.868943,1980s
UA,124,Biography,8.1,78.0,David Lynch,220078,23.383987,1980s
R,94,Comedy,8.1,77.0,Terry Jones,367250,20.045115,1970s
A,183,Drama,8.1,86.0,Michael Cimino,311361,48.979328,1970s
U,120,Drama,8.1,70.0,John G. Avildsen,518546,117.235247,1970s
UA,121,Drama,8.1,83.0,Sidney Lumet,144911,59.57999,1970s
PG,185,Adventure,8.1,89.0,Stanley Kubrick,149843,130.6145985,1970s
G,107,Biography,8.1,76.24050632911393,Andrei Tarkovsky,40081,0.177345,1970s
UA,130,Drama,8.1,92.0,Roman Polanski,294230,29.0,1970s
U,102,Comedy,8.1,77.0,Peter Bogdanovich,42285,30.933743,1970s
A,91,Drama,8.1,79.15668202764977,Ingmar Bergman,30206,1.742348,1970s
PG,167,Drama,8.1,90.0,Andrei Tarkovsky,81021,22.253674,1970s
GP,105,Crime,8.1,75.98717948717949,Jean-Pierre Melville,45434,0.039481,1960s
A,127,Crime,8.1,92.0,Stuart Rosenberg,161984,16.217773,1960s
R,205,Biography,8.1,76.24050632911393,Andrei Tarkovsky,46947,0.102021,1960s
Passed,134,Drama,8.1,75.0,Robert Aldrich,50058,4.05,1960s
U,96,Action,8.1,73.52941176470588,Akira Kurosawa,33044,39.1,1960s
A,89,Drama,8.1,79.15668202764977,Ingmar Bergman,26697,1.526,1950s
U,212,Adventure,8.1,90.0,William Wyler,219466,74.7,1950s
PG,161,Adventure,8.1,87.0,David Lean,203463,44.908,1950s
A,108,Crime,8.1,91.0,Elia Kazan,142107,9.6,1950s
Approved,111,Drama,8.1,72.0,Billy Wilder,31568,3.969893,1950s
Approved,104,Film-Noir,8.1,97.0,Carol Reed,158731,0.449191,1940s
Approved,130,Drama,8.1,86.0,Alfred Hitchcock,123942,4.36,1930s
Passed,129,Comedy,8.1,73.0,Frank Capra,107017,9.6,1930s
U,238,Drama,8.1,97.0,Victor Fleming,290074,198.676459,1930s
Approved,105,Comedy,8.1,87.0,Frank Capra,94016,4.36,1930s
Passed,110,Biography,8.1,76.24050632911393,Carl Theodor Dreyer,47676,0.021877,1920s
Passed,94,Drama,8.1,79.15668202764977,F.W. Murnau,46865,0.53954,1920s
Passed,67,Action,8.1,73.52941176470588,Clyde Bruckman,81156,1.033895,1920s
U,113,Adventure,8.0,69.0,Ericson Core,37556,13.122642,2010s
UA,130,Drama,8.0,79.15668202764977,Raja Menon,52897,25.69158416666667,2010s
UA,163,Action,8.0,73.52941176470588,Kabir Khan,72245,8.178001,2010s
UA,159,Action,8.0,73.52941176470588,Neeraj Pandey,52848,222.6939588333333,2010s
A,128,Comedy,8.0,94.0,Damien Chazelle,505918,151.101803,2010s
U,118,Biography,8.0,69.0,Garth Davis,213970,51.739495,2010s
UA,144,Adventure,8.0,80.0,Ridley Scott,760094,228.433663,2010s
U,108,Animation,8.0,78.0,Byron Howard,434143,341.268248,2010s
UA,159,Action,8.0,73.52941176470588,S.S. Rajamouli,102972,6.738,2010s
U,137,Animation,8.0,89.0,Isao Takahata,38746,1.506975,2010s
U,113,Drama,8.0,66.0,Stephen Chbosky,141923,132.422809,2010s
UA,154,Drama,8.0,65.0,Zoya Akhtar,31886,5.566534,2010s
UA,144,Crime,8.0,75.98717948717949,Neeraj Pandey,51069,1.079369,2010s
R,96,Drama,8.0,82.0,Destin Daniel Cretton,81770,1.010414,2010s
A,150,Action,8.0,71.0,Gareth Evans,114316,2.625803,2010s
UA,114,Biography,8.0,73.0,Morten Tyldum,685201,91.125683,2010s
UA,121,Action,8.0,76.0,James Gunn,1043455,333.1766,2010s
UA,164,Action,8.0,81.0,Denis Villeneuve,461823,92.054159,2010s
A,126,Drama,8.0,90.0,Spike Jonze,540772,25.568251,2010s
UA,134,Biography,8.0,49.0,Bryan Singer,450349,216.428042,2010s
A,156,Action,8.0,76.0,Alejandro G. Iñárritu,705589,183.637894,2010s
UA,103,Drama,8.0,67.0,Stephen Chbosky,462252,17.73857,2010s
U,118,Biography,8.0,88.0,Tom Hooper,639603,138.797449,2010s
UA,146,Drama,8.0,62.0,Tate Taylor,428521,169.708112,2010s
R,108,Action,8.0,65.0,Tim Miller,902669,363.070709,2010s
TV-PG,119,Drama,8.0,87.0,Asghar Farhadi,45803,0.106662,2000s
A,144,Drama,8.0,79.15668202764977,Anurag Kashyap,28749,0.01095,2000s
R,106,Action,8.0,59.0,Wilson Yip,211427,332.757178,2000s
UA,165,Drama,8.0,50.0,Karan Johar,98575,4.018695,2010s
UA,120,Drama,8.0,84.0,Danny Boyle,798882,141.319928,2000s
A,108,Drama,8.0,79.0,Darren Aronofsky,699673,106.954678,2010s
R,115,Action,8.0,33.0,José Padilha,98097,0.00806,2000s
UA,143,Action,8.0,69.0,Joss Whedon,1260806,623.279547,2010s
PG-13,96,Animation,8.0,90.0,Vincent Paronnaud,88656,4.445756,2000s
R,117,Biography,8.0,80.0,Jean-Marc Vallée,441614,27.298285,2010s
U,117,Biography,8.0,64.0,Gabriele Muccino,448930,163.566459,2000s
A,143,Adventure,8.0,64.0,Edward Zwick,499439,57.366262,2000s
UA,115,Action,8.0,85.0,Paul Greengrass,604694,227.47107,2000s
U,88,Crime,8.0,72.0,Ki-duk Kim,50610,0.238507,2000s
A,124,Crime,8.0,74.0,Frank Miller,738512,74.10382,2000s
PG-13,112,Biography,8.0,92.0,Julian Schnabel,103284,5.990075,2000s
U,111,Animation,8.0,96.0,Brad Bird,641645,206.445654,2000s
PG-13,144,Action,8.0,80.0,Martin Campbell,582239,167.44596,2000s
A,137,Action,8.0,83.0,Quentin Tarantino,683900,66.208183,2000s
R,103,Drama,8.0,85.0,Ki-duk Kim,77520,2.380788,2000s
U,126,Biography,8.0,74.0,Alejandro Amenábar,77554,2.086345,2010s
UA,144,Biography,8.0,69.0,Ron Howard,176151,61.649911,2000s
U,186,Comedy,8.0,54.0,Nikkhil Advani,63460,1.787378,2000s
UA,101,Action,8.0,75.0,Andrew Lau,117857,0.169659,2000s
UA,143,Action,8.0,63.0,Gore Verbinski,1015122,305.413918,2000s
U,125,Adventure,8.0,58.0,Tim Burton,415218,66.257002,2000s
U,115,Animation,8.0,90.0,Brad Bird,657047,261.441092,2000s
R,178,Crime,8.0,60.0,Lars von Trier,137963,1.530386,2000s
R,113,Drama,8.0,88.0,Richard Kelly,740086,1.480006,2000s
R,188,Drama,8.0,77.0,Paul Thomas Anderson,289742,22.455976,1990s
U,140,Crime,8.0,61.0,Lars von Trier,102285,4.184036,2000s
U,112,Biography,8.0,86.0,David Lynch,82002,6.203044,1990s
A,81,Animation,8.0,81.0945945945946,Satoshi Kon,58192,0.776665,1990s
R,105,Drama,8.0,82.0,Thomas Vinterberg,78341,1.64778,1990s
R,110,Drama,8.0,80.0,Walter Salles,36419,5.595428,1990s
PG,86,Animation,8.0,85.0,Brad Bird,172083,23.159305,1990s
R,135,Drama,8.0,84.0,Billy Bob Thornton,86838,24.475416,1990s
U,136,Comedy,8.0,91.0,Mike Leigh,37564,13.417292,1990s
A,129,Mystery,8.0,74.0,Terry Gilliam,578443,57.141459,1990s
UA,83,Animation,8.0,76.0,Mamoru Oshii,129231,0.515905,1990s
U,76,Animation,8.0,82.0,Henry Selick,300208,75.082668,1990s
U,101,Comedy,8.0,72.0,Harold Ramis,577991,70.906973,1990s
R,180,Crime,8.0,47.0,Taylor Hackford,28825,4.496583,1990s
UA,156,Drama,8.0,59.0,Martin Brest,263918,63.895607,1990s
U,90,Animation,8.0,86.0,Ron Clements,373845,217.350219,1990s
UA,189,Drama,8.0,72.0,Oliver Stone,142110,70.405498,1990s
G,84,Animation,8.0,95.0,Gary Trousdale,417178,218.96762,1990s
U,181,Adventure,8.0,72.0,Kevin Costner,240266,184.208848,1990s
R,120,Comedy,8.0,93.0,Spike Lee,89429,27.545445,1980s
U,133,Drama,8.0,65.0,Barry Levinson,473064,178.8,1980s
UA,124,Animation,8.0,81.0945945945946,Katsuhiro Ôtomo,164918,0.553171,1980s
U,98,Adventure,8.0,77.0,Rob Reiner,393899,30.857814,1980s
U,128,Drama,8.0,79.0,Wim Wenders,64722,3.333969,1980s
U,104,Drama,8.0,88.0,Louis Malle,31163,4.542825,1980s
UA,107,Action,8.0,84.0,James Cameron,799795,38.4,1980s
U,191,Biography,8.0,79.0,Richard Attenborough,217664,52.767889,1980s
U,180,Drama,8.0,84.0,Akira Kurosawa,32195,49.408687,1980s
PG,130,Comedy,8.0,83.0,Hal Ashby,65625,30.177511,1970s
